family,n_stations,bias_med,bias_lo,bias_hi,ubrmse_med,ubrmse_lo,ubrmse_hi,R_med,R_lo,R_hi,Ranom_med,Ranom_lo,Ranom_hi
HydraProbe,637,-0.03184836803988633,-0.09858751675445883,-0.01747773831549268,0.061657953475395495,0.051481414004123614,0.0742037250136785,0.3167881986035064,0.15029869970612694,0.44288412178888514,0.3291742694122185,0.08815484294117644,0.4652451144682245
Campbell CS6xx,58,-0.10691640565200325,-0.15084449269377617,0.09864958628841611,0.05751413350290307,0.032026347912244735,0.0641828844503462,0.1657677154309122,0.08657003346372849,0.6219540836716477,0.14018264165601468,-0.03550636267725244,0.6567593169829601
Decagon/METER TDR,57,0.057665182719488915,0.030715480617191357,0.13903462714564707,0.04837070813125685,0.028031051630931017,0.06825634873331593,0.6220274662683165,0.44135616971662733,0.646969092001199,0.4226464357245538,0.26433670585371616,0.6346759509676274
other,30,-0.07149218789066286,-0.08469233373535302,-0.03273282629779846,0.07824484017360792,0.05600599004249982,0.08032413417866717,0.05517440683135972,0.000986444740931839,0.43635916675580133,0.05942695331849196,-0.015793586344992297,0.28311205627349156
ThetaProbe,3,0.1950141025641026,0.1950141025641026,0.1950141025641026,0.030368310100870658,0.030368310100870658,0.030368310100870658,0.6387984950847796,0.6387984950847796,0.6387984950847796,0.6084030489212148,0.6084030489212148,0.6084030489212148
