manuscript_figure,file_in_package,primary_source_data,notes
Fig. 1,figures/main/paper_fig3_AB.png,source_data/family_composition.csv and source_data/family_reference_residuals.csv,"Portable rebuild script recreates the archive-composition and family-residual panels from included CSVs"
Fig. 2,figures/main/downstream_figure.png,"source_data/family_reference_residuals.csv; source_data/validation_metrics_by_subset.csv; source_data/colocated_pair_summary.csv; source_data/crns_cross_check_summary.csv","Portable rebuild script recreates the product-metric and independent-check panels from included CSVs; the CRNS whisker uses the network-cluster bootstrap CI"
Supplement Fig. S1,figures/supplement/phase2_combined_attribution.png,source_data/crns_cross_check_summary.csv,"Archive-level CRNS details require processed CRNS-ISMN matchup table not bundled here"
Supplement Fig. S2,figures/supplement/family_temporal_real2021.png,source_data/temporal_metrics_2021_by_family.csv,"Real 2021 SMAP L3 SM_P temporal-check figure generated by scripts/legacy_project_scripts/real_matchup_2021.py"
